node,source,function,total_flops,total_int_ops,total_mem_bytes,arithmetic_intensity
multi_object_tracker,bicycle_motion_model,_ZN8autoware20multi_object_tracker20KalmanFilterTemplateILi6ELi2ELi0EdE6updateILi4EEEbRKN5Eigen6Matr,82,0,604,0.1357615894039735
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal26call_dense_assignment_loopINS_6MatrixIdLi2ELi2ELi1ELi2ELi2EEENS_7ProductINS4_INS,81,0,216,0.375
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi3ELi3ELi1ELi3ELi3EEENS_7ProductINS4_INS2_IdLi3ELi5ELi0E,81,0,664,0.12198795180722892
shape_estimation,utils,_ZNK5Eigen9TransformIdLi3ELi2ELi0EE22computeRotationScalingINS_6MatrixIdLi3ELi3ELi0ELi3ELi3EEES4_EEv,80,0,592,0.13513513513513514
velocity_smoother,trajectory_utils,_ZN23autoware_utils_geometry22calc_interpolated_poseIN13geometry_msgs3msg5Pose_ISaIvEEES5_EES5_RKT_R,78,3,348,0.22413793103448276
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi4ELi4ELi0ELi4ELi4EEENS_7InverseIS3_EENS0_9assign_opIddE,77,0,40,1.925
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi4ELi4ELi0ELi4ELi4EEENS_7InverseIS3_EENS0_9assign_opIddE,77,0,40,1.925
multi_object_tracker,cv_motion_model,_ZN5Eigen8internal10AssignmentINS_6MatrixIdLi4ELi4ELi0ELi4ELi4EEENS_7InverseIS3_EENS0_9assign_opIddE,77,0,40,1.925
autonomous_emergency_braking,node,_ZN5boost8geometry8strategy11convex_hull6detail12get_extremesINS0_5model4ringIN23autoware_utils_geom,76,12,154,0.4935064935064935
multi_object_tracker,shapes,_ZN5boost8geometry8strategy11convex_hull6detail12get_extremesINS0_5model4ringIN23autoware_utils_geom,76,12,154,0.4935064935064935
multi_object_tracker,tracker_base,_ZN8autoware20multi_object_tracker7Tracker23createPseudoMeasurementERKNS0_5types13DynamicObjectERS3_,76,0,117,0.6495726495726496
map_based_prediction,map_based_prediction_node,_ZNK8autoware20map_based_prediction22MapBasedPredictionNode32searchProperStartingRefPathIndexERKN24a,75,12,192,0.390625
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,75,0,964,0.07780082987551867
multi_object_tracker,ctrv_motion_model,_ZN8autoware20multi_object_tracker20KalmanFilterTemplateILi5ELi2ELi0EdE6updateILi4EEEbRKN5Eigen6Matr,73,0,776,0.09407216494845361
multi_object_tracker,bicycle_motion_model,_ZNK5Eigen9DenseBaseINS_13CwiseBinaryOpINS_8internal13scalar_cmp_opIddLNS2_14ComparisonNameE0EEEKNS_,72,0,800,0.09
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,72,0,840,0.08571428571428572
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,72,0,840,0.08571428571428572
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,70,0,984,0.07113821138211382
autonomous_emergency_braking,node,_ZN8autoware6motion7control28autonomous_emergency_braking3AEB37createObjectDataUsingPredictedObjects,69,30,806,0.08560794044665013
map_based_prediction,predictor_vru,_ZN5boost8geometry6detail7overlay27get_turn_info_linear_linearINS1_8disjoint22assign_disjoint_policy,68,25,977,0.06960081883316274
multi_object_tracker,bicycle_motion_model,_ZNK8autoware20multi_object_tracker18BicycleMotionModel16predictStateStepEdRNS0_20KalmanFilterTempla,66,0,400,0.165
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,66,2,672,0.09821428571428571
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,66,6,736,0.08967391304347826
autonomous_emergency_braking,node,_ZN5boost8geometry6detail18get_rescale_policy18get_rescale_policyINS1_13robust_policyIN23autoware_ut,65,1,276,0.23550724637681159
multi_object_tracker,shapes,_ZN5boost8geometry6detail18get_rescale_policy18get_rescale_policyINS1_13robust_policyIN23autoware_ut,65,1,276,0.23550724637681159
map_based_prediction,path_generator,_ZNK3tf210Quaternion5slerpERKS0_RKd,64,0,160,0.4
velocity_smoother,analytical_jerk_constrained_smoother,_ZNK3tf210Quaternion5slerpERKS0_RKd,64,0,160,0.4
velocity_smoother,trajectory_utils,_ZNK3tf210Quaternion5slerpERKS0_RKd,64,0,160,0.4
ekf_localizer,mahalanobis,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,63,59,392,0.16071428571428573
map_based_prediction,path_generator,_ZNK8autoware20map_based_prediction13PathGenerator18generateFrenetPathERKNS0_11FrenetPointES4_ddd,63,5,268,0.23507462686567165
multi_object_tracker,bicycle_motion_model,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,63,59,392,0.16071428571428573
multi_object_tracker,ctrv_motion_model,_ZN8autoware20multi_object_tracker20KalmanFilterTemplateILi5ELi2ELi0EdE6updateILi2EEEbRKN5Eigen6Matr,63,0,400,0.1575
multi_object_tracker,uncertainty_processor,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,63,59,392,0.16071428571428573
multi_object_tracker,unknown_tracker,_ZN5Eigen8internal11gebp_kernelIddlNS0_16blas_data_mapperIdlLi0ELi0ELi1EEELi4ELi4ELb0ELb0EEclERKS3_P,63,59,392,0.16071428571428573
multi_object_tracker,processor,_ZNK8autoware20multi_object_tracker16TrackerProcessor16getMergedObjectsERKN6rclcpp4TimeERKN13geometr,61,2,188,0.324468085106383
multi_object_tracker,processor,_ZNK8autoware20multi_object_tracker16TrackerProcessor16getMergedObjectsERKN6rclcpp4TimeERKN13geometr,61,6,252,0.24206349206349206
multi_object_tracker,static_motion_model,_ZN8autoware20multi_object_tracker17StaticMotionModel15updateStatePoseERKdS3_RKSt5arrayIdLm36EE,61,0,89,0.6853932584269663
multi_object_tracker,uncertainty_processor,_ZN8autoware20multi_object_tracker11uncertainty22addOdometryUncertaintyERKN8nav_msgs3msg9Odometry_IS,61,49,1496,0.04077540106951872
multi_object_tracker,association,_ZN5boost8geometry5index6detail5rtree21redistribute_elementsINS1_5rtreeISt4pairINS0_5model5pointIdLm,60,17,640,0.09375
multi_object_tracker,ctrv_motion_model,_ZNK5Eigen9DenseBaseINS_13CwiseBinaryOpINS_8internal13scalar_cmp_opIddLNS2_14ComparisonNameE0EEEKNS_,60,0,672,0.08928571428571429
multi_object_tracker,processor,_ZN5boost8geometry5index6detail5rtree21redistribute_elementsINS1_5rtreeISt4pairINS0_5model5pointIdLm,60,17,640,0.09375
shape_estimation,bounding_box,_ZN8autoware16shape_estimation5model21BoundingBoxShapeModel13boostOptimizeERKN3pcl10PointCloudINS3_8,60,2,16,3.75
shape_estimation,tensorrt_shape_estimator,_ZN8autoware16shape_estimation17TrtShapeEstimator10preprocessERKN21tier4_perception_msgs3msg27Detect,60,60,1142,0.05253940455341506
map_based_prediction,predictor_vru,_ZN8autoware20map_based_prediction12PredictorVru33getPredictedObjectAsCrosswalkUserERKN24autoware_pe,59,49,2230,0.026457399103139014
autonomous_emergency_braking,node,_ZSt13__adjust_heapIN9__gnu_cxx17__normal_iteratorIPN23autoware_utils_geometry7Point2dESt6vectorIS3_,57,14,112,0.5089285714285714
map_based_prediction,path_generator,_ZZNK8autoware20map_based_prediction13PathGenerator14getFrenetPointERKN24autoware_perception_msgs3ms,57,3,160,0.35625
multi_object_tracker,shapes,_ZSt13__adjust_heapIN9__gnu_cxx17__normal_iteratorIPN23autoware_utils_geometry7Point2dESt6vectorIS3_,57,14,112,0.5089285714285714
multi_object_tracker,cv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,56,0,608,0.09210526315789473
multi_object_tracker,cv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,56,0,608,0.09210526315789473
multi_object_tracker,cv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,56,0,608,0.09210526315789473
multi_object_tracker,cv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,56,0,608,0.09210526315789473
multi_object_tracker,cv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,56,0,608,0.09210526315789473
ekf_localizer,mahalanobis,_ZN5Eigen8internal29general_matrix_vector_productIldNS0_22const_blas_data_mapperIdlLi1EEELi1ELb0EdNS,55,74,696,0.07902298850574713
map_based_prediction,map_based_prediction_node,_ZN8autoware20map_based_prediction22MapBasedPredictionNode40isLateralAccelerationConstraintSatisfied,55,4,148,0.3716216216216216
multi_object_tracker,uncertainty_processor,_ZN5Eigen8internal29general_matrix_vector_productIldNS0_22const_blas_data_mapperIdlLi1EEELi1ELb0EdNS,55,74,696,0.07902298850574713
multi_object_tracker,unknown_tracker,_ZN5Eigen8internal29general_matrix_vector_productIldNS0_22const_blas_data_mapperIdlLi1EEELi1ELb0EdNS,55,74,696,0.07902298850574713
autonomous_emergency_braking,node,_ZN5boost8geometry8strategy12intersection18cartesian_segmentsIvE7unifiedINS0_13segment_ratioIxEENS4_,54,35,584,0.09246575342465753
multi_object_tracker,shapes,_ZN5boost8geometry8strategy12intersection18cartesian_segmentsIvE7unifiedINS0_13segment_ratioIxEENS4_,54,35,584,0.09246575342465753
map_based_prediction,map_based_prediction_node,_ZN8autoware20map_based_prediction22MapBasedPredictionNode29getPredictionForVehicleObjectERKN8std_ms,53,53,2534,0.020915548539857932
map_based_prediction,path_generator,_ZNK8autoware20map_based_prediction13PathGenerator14getFrenetPointERKN24autoware_perception_msgs3msg,53,0,161,0.32919254658385094
map_based_prediction,predictor_vru,_ZN8autoware20map_based_prediction12PredictorVru30hasPotentialToReachWithHistoryERKN24autoware_perce,53,9,628,0.08439490445859872
autonomous_emergency_braking,utils,_ZN8autoware6motion7control28autonomous_emergency_braking5utils41convertBoundingBoxObjectToGeometryP,50,1,156,0.32051282051282054
autonomous_emergency_braking,node,_ZN5boost8geometry6detail7overlay9collinearINS2_9turn_infoIN23autoware_utils_geometry7Point2dENS0_13,49,11,642,0.0763239875389408
multi_object_tracker,shapes,_ZN8autoware20multi_object_tracker6shapes19get3dGeneralizedIoUERKNS0_5types13DynamicObjectES5_,49,10,416,0.11778846153846154
multi_object_tracker,shapes,_ZN5boost8geometry6detail7overlay9collinearINS2_19traversal_turn_infoIN23autoware_utils_geometry7Poi,49,11,642,0.0763239875389408
multi_object_tracker,shapes,_ZN5boost8geometry6detail7overlay9collinearINS2_9turn_infoIN23autoware_utils_geometry7Point2dENS0_13,49,11,642,0.0763239875389408
multi_object_tracker,ctrv_motion_model,_ZN5Eigen8internal21dense_assignment_loopINS0_31generic_dense_assignment_kernelINS0_9evaluatorINS_6M,48,0,568,0.08450704225352113
multi_object_tracker,cv_motion_model,_ZNK5Eigen9DenseBaseINS_13CwiseBinaryOpINS_8internal13scalar_cmp_opIddLNS2_14ComparisonNameE0EEEKNS_,48,0,544,0.08823529411764706
multi_object_tracker,processor,_ZNK8autoware20multi_object_tracker16TrackerProcessor16getMergedObjectsERKN6rclcpp4TimeERKN13geometr,48,0,88,0.5454545454545454
multi_object_tracker,processor,_ZNK8autoware20multi_object_tracker16TrackerProcessor16getMergedObjectsERKN6rclcpp4TimeERKN13geometr,48,5,168,0.2857142857142857
map_based_prediction,predictor_vru,_ZN5boost8geometry6detail7overlay9collinearINS2_9turn_infoINS0_5model2d28point_xyIdNS0_2cs9cartesian,47,7,411,0.11435523114355231
map_based_prediction,predictor_vru,_ZN5boost8geometry6detail7overlay9collinearINS2_9turn_infoIN5Eigen6MatrixIdLi2ELi1ELi0ELi2ELi1EEENS0,47,11,482,0.0975103734439834
velocity_smoother,trajectory_utils,_ZN8autoware17velocity_smoother16trajectory_utils31calcStopDistWithJerkConstraintsEddddddRSt3mapIddS,47,37,1686,0.027876631079478055
ekf_localizer,ekf_module,_ZN8autoware13ekf_localizer9EKFModule25compensate_rph_with_delayERKN13geometry_msgs3msg26PoseWithCov,46,2,137,0.3357664233576642
ekf_localizer,ekf_module,_ZN8autoware13ekf_localizer9EKFModule10initializeERKN13geometry_msgs3msg26PoseWithCovarianceStamped_,45,11,404,0.11138613861386139
multi_object_tracker,ctrv_motion_model,_ZNK5Eigen9DenseBaseINS_13CwiseBinaryOpINS_8internal13scalar_cmp_opIddLNS2_14ComparisonNameE0EEEKNS_,45,0,512,0.087890625
ekf_localizer,mahalanobis,_ZN5Eigen8internal29general_matrix_vector_productIldNS0_22const_blas_data_mapperIdlLi0EEELi0ELb0EdNS,44,25,268,0.16417910447761194
map_based_prediction,predictor_vru,_ZN5boost8geometry6detail7overlay26get_turn_info_linear_arealINS2_18assign_null_policyEE25calculate_,44,10,281,0.15658362989323843
